,Nombre,Categoría,Sección,Descripción,Dimensiones,URL Imágenes
4404,S57,Sofá,Americano Salón Tresillo,SofáS57Americano  Salón  Tresillo  Sofá chester capitoné tapizado skay marrón180x60x75Añadir al presupuesto,180x60x75,https://atrezzovazquez.es/admin/img_prod/S57/S57-1-720x540.png
4405,TYV57,Televisores y vídeos,Televisor,"Televisores y vídeosTYV57Televisor  Televisión portátil caja plástico morado con tapa Sony 14""23x24x26Añadir al presupuesto",23x24x26,https://atrezzovazquez.es/admin/img_prod/TYV57/TYV57-1-720x540.png
4406,PV57,Pie de vela,Candelabro,Pie de velaPV57Candelabro  Candelabro de metal blanco 5 luces0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/PV57/PV57-720x540.png
4407,TP57,Tapices y estandartes,Palacio,Tapices y estandartesTP57Palacio  Tapiz bordado en bastidor Petrarca145x5x100Añadir al presupuesto,145x5x100,https://atrezzovazquez.es/admin/img_prod/TP57/TP57-720x540.png
4408,PER57,Perchero,Recibidor,PercheroPER57Recibidor  Perchero de colgar nogal con ganchos y barras metal88x29x45Añadir al presupuesto,88x29x45,https://atrezzovazquez.es/admin/img_prod/PER57/PER57-1-720x540.png
4409,CDM57,Centro de mesa,,Centro de mesaCDM57Centro de mesa cristal tallado rosa0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/CDM57/CDM57-720x540.png
4410,FIG57,Figuras,Adorno,FigurasFIG57Adorno  Figura mediana oriental0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/FIG57/FIG57-720x540.png
4411,REG57,Religión,Religioso,ReligiónREG57Religioso  Tríptico religioso con estampas0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/REG57/REG57-720x540.png
4412,RU57,Rural,,RuralRU57Tajo de madera 4 patas0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/RU57/RU57-720x540.png
4413,ALF58,Alfombra,Comedor Salón,AlfombraALF58Comedor  Salón  Alfombra dibujos geométricos marrones200x140x1Añadir al presupuesto,200x140x1,https://atrezzovazquez.es/admin/img_prod/ALF58/ALF58-720x540.png
4414,AFC58,Alfombra de cama,Dormitorio,Alfombra de camaAFC58Dormitorio  Alfombrines de cama crema con flores90x60x1Añadir al presupuesto,90x60x1,https://atrezzovazquez.es/admin/img_prod/AFC58/AFC58-720x540.png
4415,AP58,Aparador,Comedor,AparadorAP58Comedor  Aparador embero 6 cajones150x50x77Añadir al presupuesto,150x50x77,https://atrezzovazquez.es/admin/img_prod/AP58/AP58-1-720x540.png
4416,AR58,Armario,Dormitorio Rústico,ArmarioAR58Dormitorio  Rústico  Armario rústico 2 puertas oscuro101x42x172Añadir al presupuesto,101x42x172,https://atrezzovazquez.es/admin/img_prod/AR58/AR58-720x540.png
4417,BAC58,Banco,Gimnasio,BancoBAC58Gimnasio  Banco de gimnasio listones100x32x45Añadir al presupuesto,100x32x45,https://atrezzovazquez.es/admin/img_prod/BAC58/BAC58-1-720x540.png
4418,BAN58,Banqueta,Enea Rústico,BanquetaBAN58Enea  Rústico  Banqueta cuadrada de enea34x34x45Añadir al presupuesto,34x34x45,https://atrezzovazquez.es/admin/img_prod/BAN58/BAN58-1-720x540.png
4419,CA58,Cama,Cubista Dormitorio,CamaCA58Cubista  Dormitorio  Cama cubista medio punto borde crema140x190x135Añadir al presupuesto,140x190x135,https://atrezzovazquez.es/admin/img_prod/CA58/CA58-720x540.png
4420,CO58,Cocinas,Electrodomestico,CocinasCO58Electrodomestico  Lavadora automática carga superior Balay47x50x80Añadir al presupuesto,47x50x80,https://atrezzovazquez.es/admin/img_prod/CO58/CO58-720x540.png
4421,COM58,Comoda,Dormitorio Tocador,ComodaCOM58Dormitorio  Tocador  Tocador lavabo pata torneada 2 cajones con entrepaño76x43x80Añadir al presupuesto,76x43x80,https://atrezzovazquez.es/admin/img_prod/COM58/COM58-1-720x540.png
4422,CON58,Consola,Recibidor,ConsolaCON58Recibidor  Consola imitación tronco tapa cristal120x40x78Añadir al presupuesto,120x40x78,https://atrezzovazquez.es/admin/img_prod/CON58/CON58-720x540.png
4423,CU58,Cuadro,Paisaje,CuadroCU58Paisaje  Cuadro marco tallado oscuro lámina fiesta campestre100x10x76Añadir al presupuesto,100x10x76,https://atrezzovazquez.es/admin/img_prod/CU58/CU58-720x540.png
4424,ANU58,Carteles y anuncios,Tienda,Carteles y anunciosANU58Tienda  Cartel chapa Oxford135x5x55Añadir al presupuesto,135x5x55,https://atrezzovazquez.es/admin/img_prod/ANU58/ANU58-720x540.png
4425,ESP58,Espejo,Frances Salón,EspejoESP58Frances  Salón  Espejo de pared Luis XV plateado tallado85x25x110Añadir al presupuesto,85x25x110,https://atrezzovazquez.es/admin/img_prod/ESP58/ESP58-720x540.png
4426,ES58,Estanteria,Atrezzo baño Dormitorio Mimbre,EstanteriaES58Atrezzo baño  Dormitorio  Mimbre  Estante de pared de mimbre40x20x66Añadir al presupuesto,40x20x66,https://atrezzovazquez.es/admin/img_prod/ES58/ES58-720x540.png
4427,DPT58,Deporte,Pingpong,DeporteDPT58Pingpong  Mesa de ping-pong patas madera275x153x77Añadir al presupuesto,275x153x77,https://atrezzovazquez.es/admin/img_prod/DPT58/DPT58-1-720x540.png
4428,LAM58,Lámpara,Biblioteca Lámpara de mesa,LámparaLAM58Biblioteca  Lámpara de mesa  Lámpara de mesa de biblioteca con globos0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/LAM58/LAM58-720X540.png
4429,MUS58,Instrumentos musicales,Musica,Instrumentos musicalesMUS58Musica  Guitarra española0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/MUS58/MUS58-720x540.png
4430,FUM58,Artículos de fumador,Cenicero,Artículos de fumadorFUM58Cenicero  Ceniceros loza pequeños serigrafiados diferentes1x1x1Añadir al presupuesto,1x1x1,https://atrezzovazquez.es/admin/img_prod/FUM58/FUM58-720X540.png
4431,M58,Mesa,Auxiliar Frances,MesaM58Auxiliar  Frances  Mesa francesa pintada marrón tapa piedra82x62x81Añadir al presupuesto,82x62x81,https://atrezzovazquez.es/admin/img_prod/M58/M58-1-720x540.png
4432,DES58,Atrezzo despacho,Despacho Escribanías y tinteros,Atrezzo despachoDES58Despacho  Escribanías y tinteros  Tintero de metal con tapa redondo1x1x1Añadir al presupuesto,1x1x1,https://atrezzovazquez.es/admin/img_prod/DES58/DES58-720x540.png
4433,BA58,Baño,Rústico,BañoBA58Rústico  Palanganero redondo con palangana60x60x80Añadir al presupuesto,60x60x80,https://atrezzovazquez.es/admin/img_prod/BA58/BA58-1-720x540.png
4434,BEB58,Bebé,Cuna Rústico,BebéBEB58Cuna  Rústico  Cuna de bebé balancín en madera110x55x70Añadir al presupuesto,110x55x70,https://atrezzovazquez.es/admin/img_prod/BEB58/BEB58-720x540.png
4435,CST58,Moda y costura,Máquinas de coser,Moda y costuraCST58Máquinas de coser  Máquina de coser antigua con estuche nogal24x30x44Añadir al presupuesto,24x30x44,https://atrezzovazquez.es/admin/img_prod/CST58/CST58-720x540.png
4436,COL58,Atrezzo colegio,Pupitres,Atrezzo colegioCOL58Pupitres  Mesa de colegio doble tubo gris y tapa blanca.130x50x80Añadir al presupuesto,130x50x80,https://atrezzovazquez.es/admin/img_prod/COL58/COL58-1-720x540.png
4437,MC58,Macetero,Columna Jardín,MaceteroMC58Columna  Jardín  Columna escayola redonda estriada23x23x66Añadir al presupuesto,23x23x66,https://atrezzovazquez.es/admin/img_prod/MC58/MC58-1-720x540.png
4438,ME58,Mesilla,Dormitorio Valenciano,MesillaME58Dormitorio  Valenciano  Mesilla valenciana nogal 2 cajones53x36x64Añadir al presupuesto,53x36x64,https://atrezzovazquez.es/admin/img_prod/ME58/ME58-1-720x540.png
4439,REL58,Reloj,Salón,RelojREL58Salón  Reloj de mesa loza con lamparas1x1x1Añadir al presupuesto,1x1x1,https://atrezzovazquez.es/admin/img_prod/REL58/REL58-720x540.png
4440,TEL58,Telefonía,,TelefoníaTEL58Teléfonos móviles 2ª generación0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/TEL58/TLF58-720x540.png
4441,MYN58,Maletas y neceseres de viaje,Viaje,Maletas y neceseres de viajeMYN58Viaje  Maletas rígidas cuero negro cierres metal65x45x25Añadir al presupuesto,65x45x25,https://atrezzovazquez.es/admin/img_prod/MYN58/MYN58-720x540.png
4442,JUG58,Juguetes,Juguete,JuguetesJUG58Juguete  Muñeco Madelman con uniforme militar0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/JUG58/JUG58-720x540.png
4443,JAR58,Jarrones y jarras,Adorno Decoración Salón,Jarrones y jarrasJAR58Adorno  Decoración  Salón  Jarrón cristal roca tallado antiguo0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/JAR58/JAR58-720x540.png
4444,MYS58,Tocadiscos y altavoces,Electrónica Musica Sonido,Tocadiscos y altavocesMYS58Electrónica  Musica  Sonido  Tocadiscos antiguo de maleta naranja0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/MYS58/MYS58-720x540.png
4445,ML58,Librería,Descatalogado,LibreríaML58Descatalogado  Descatalogado0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/ML58/LOGOTIPO VAZQUEZ- 720x540.png
4446,MED58,Atrezzo medicina,Hospital Medicina,Atrezzo medicinaMED58Hospital  Medicina  Recipiente chapa antiguo para vahos0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/MED58/MED58-720x540.png
4447,HOS58,Hospitales,Hospital Medicina Oficios,HospitalesHOS58Hospital  Medicina  Oficios  Aparato óptica con mesa regulable51x34x130Añadir al presupuesto,51x34x130,https://atrezzovazquez.es/admin/img_prod/HOS58/HOS58-720x540.png
4448,VAA58,Atrezzo vario,Teatro,Atrezzo varioVAA58Teatro  Candilejas de chapa antiguas grandes9x9x27Añadir al presupuesto,9x9x27,https://atrezzovazquez.es/admin/img_prod/VAA58/VAA58-720x540.png
